Nivel,CodIBGE,Municipio,2007,2009,2011,2013,2015,2017
MU,1501402,Belém (PA),14368248,17294868,21426847,27139286,29215036,30238484
MU,1501451,Belterra (PA),71532,97784,161153,268532,140052,158064
MU,1501501,Benevides (PA),469248,492659,667844,921749,1202057,1393885
MU,1501576,Bom Jesus do Tocantins (PA),50501,66636,94171,106169,134478,164626
MU,1501600,Bonito (PA),28329,45452,54910,79527,86352,136234
MU,1501709,Bragança (PA),357014,433293,612982,978372,976997,1115895
MU,1501725,Brasil Novo (PA),80990,97197,129814,158513,208756,240049
MU,1501758,Brejo Grande do Araguaia (PA),26414,30930,39925,49628,64269,80570
MU,1501782,Breu Branco (PA),257970,270546,615403,473702,518458,580334
MU,1501808,Breves (PA),295801,338524,425659,555397,653059,743286
MU,1501907,Bujaru (PA),157022,189747,238240,446363,394742,498805
MU,1501956,Cachoeira do Piriá (PA),46166,55499,93804,139360,151957,188108
MU,1502004,Cachoeira do Arari (PA),48822,67879,100791,143118,159323,172478
MU,1502103,Cametá (PA),325540,408615,555606,738755,987906,1183525
MU,1502152,Canaã dos Carajás (PA),634934,710918,2947457,3483478,3478390,4087532
MU,1502202,Capanema (PA),387578,518082,670998,828515,958387,967351
MU,1502301,Capitão Poço (PA),161910,189364,255156,369838,438832,453986
MU,1502400,Castanhal (PA),1145325,1450564,1919931,2437327,3207269,3757159
MU,1502509,Chaves (PA),52005,70785,98374,137769,167194,181401
MU,1502608,Colares (PA),38397,38810,45089,60813,65837,79043
MU,1502707,Conceição do Araguaia (PA),237788,257802,360801,407473,520879,559361
MU,1502756,Concórdia do Pará (PA),89606,113693,159552,237892,260414,292354
MU,1502764,Cumaru do Norte (PA),67752,77689,135871,186290,231360,275435
MU,1502772,Curionópolis (PA),80403,89052,147615,207669,344416,859809
MU,1502806,Curralinho (PA),57704,74846,109503,156926,477864,630977
MU,1502855,Curuá (PA),42441,66154,62791,79091,97742,120940
MU,1502905,Curuçá (PA),83492,115146,158311,220401,241752,276234
MU,1502939,Dom Eliseu (PA),244532,286165,402445,421272,567684,679818
MU,1502954,Eldorado do Carajás (PA),132129,164883,214135,249470,287743,359313
MU,1503002,Faro (PA),30631,38909,30583,54288,50485,56499
MU,1503044,Floresta do Araguaia (PA),95827,165812,370526,357379,331441,249633
MU,1503077,Garrafão do Norte (PA),69844,91024,117108,171830,192280,242303
MU,1503093,Goianésia do Pará (PA),154848,147618,188608,267741,324651,373567
MU,1503101,Gurupá (PA),72001,91356,121029,163913,197032,230594
MU,1503200,Igarapé-Açu (PA),97506,121151,206187,269984,298323,304459
MU,1503309,Igarapé-Miri (PA),178885,212937,273348,374543,374547,376722
MU,1503408,Inhangapi (PA),34604,40161,60713,90811,95257,114665
MU,1503457,Ipixuna do Pará (PA),221680,273022,498873,471202,436248,540966
MU,1503507,Irituia (PA),78142,91725,115442,162191,204242,217116
MU,1503606,Itaituba (PA),632797,727726,930322,1165927,1601843,1770652
MU,1503705,Itupiranga (PA),175252,218315,271907,381965,453461,560412
MU,1503754,Jacareacanga (PA),58173,81677,113275,159487,202240,327630
MU,1503804,Jacundá (PA),219449,254583,301391,377070,458521,489192
MU,1503903,Juruti (PA),156927,316673,568141,868722,768414,1045817
MU,1504000,Limoeiro do Ajuru (PA),107300,153909,221430,392544,404797,453590
MU,1504059,Mãe do Rio (PA),127938,166089,189972,235996,276718,292956
MU,1504109,Magalhães Barata (PA),17730,26128,33799,59449,59783,75314
MU,1504208,Marabá (PA),2801172,3015985,3822998,5739901,7305741,8596000
MU,1504307,Maracanã (PA),78644,99066,132533,169509,186807,219104
MU,1504406,Marapanim (PA),75261,100933,121686,156194,185508,221398
MU,1504422,Marituba (PA),549592,627214,829289,1112651,1592877,1787967
MU,1504455,Medicilândia (PA),179089,225034,262722,318026,624718,580775
MU,1504505,Melgaço (PA),41245,49198,84585,124602,140741,169796
MU,1504604,Mocajuba (PA),80368,106189,139095,224102,253839,306527
MU,1504703,Moju (PA),308921,349790,481619,657367,741243,892439
MU,1504752,Mojuí dos Campos (PA),...,...,...,213045,125707,155208
MU,1504802,Monte Alegre (PA),258629,300268,371138,555744,612761,690194
MU,1504901,Muaná (PA),82878,107235,175563,235348,232487,261178
MU,1504950,Nova Esperança do Piriá (PA),66123,93763,122438,167053,179038,215606
MU,1504976,Nova Ipixuna (PA),47218,58431,80353,101321,133679,136989
MU,1505007,Nova Timboteua (PA),36678,52424,65563,90210,100631,122886
MU,1505031,Novo Progresso (PA),195168,172774,296808,355426,467114,608443
MU,1505064,Novo Repartimento (PA),219915,266454,410402,592580,736960,839896
MU,1505106,Óbidos (PA),208549,255495,322745,522300,533829,624485
MU,1505205,Oeiras do Pará (PA),87150,116590,174597,286546,359088,431763
MU,1505304,Oriximiná (PA),807748,866141,1630765,1524677,1722278,1700273
MU,1505403,Ourém (PA),57663,69461,101727,159882,156196,187875
MU,1505437,Ourilândia do Norte (PA),191716,229986,482895,431090,504260,540247
MU,1505486,Pacajá (PA),161547,187315,264384,341269,433942,580557
MU,1505494,Palestina do Pará (PA),23687,30037,40192,46089,53301,66030
MU,1505502,Paragominas (PA),781332,978028,1685588,1749020,2394332,2949844
MU,1505536,Parauapebas (PA),2955019,5373091,21013984,20198715,11184354,18431904
MU,1505551,Pau D'Arco (PA),29514,38500,50700,53562,73398,74386
MU,1505601,Peixe-Boi (PA),20045,25290,32750,64775,48552,52914
MU,1505635,Piçarra (PA),63233,74865,104969,137234,180801,200749
MU,1505650,Placas (PA),72671,82925,123708,160850,235473,255858
MU,1505700,Ponta de Pedras (PA),72155,86614,131980,152436,187380,212566
MU,1505809,Portel (PA),223461,226067,290364,456736,446246,648024
MU,1505908,Porto de Moz (PA),87868,109927,159876,226304,218556,295942
MU,1506005,Prainha (PA),100428,121695,159562,229100,226131,302523
MU,1506104,Primavera (PA),23483,34581,39317,70680,81542,149255
MU,1506112,Quatipuru (PA),32669,41614,50848,71116,75765,90639
MU,1506138,Redenção (PA),633238,708068,855748,1096384,1467916,1699978
MU,1506161,Rio Maria (PA),141826,174185,211154,266214,360821,476420
MU,1506187,Rondon do Pará (PA),254099,290617,389633,394626,481472,520490
MU,1506195,Rurópolis (PA),101538,124066,172264,229974,287612,359148
MU,1506203,Salinópolis (PA),130362,166445,205015,277429,348010,424970
MU,1506302,Salvaterra (PA),51872,67163,90257,113111,143257,165754
MU,1506351,Santa Bárbara do Pará (PA),67350,64097,86139,102605,132624,165802
MU,1506401,Santa Cruz do Arari (PA),19451,27257,40752,50839,61148,68177
MU,1506500,Santa Izabel do Pará (PA),256081,340650,433552,506488,609611,718727
MU,1506559,Santa Luzia do Pará (PA),51225,64579,83729,112233,138283,164117
MU,1506583,Santa Maria das Barreiras (PA),88225,97867,145031,195215,250099,375718
MU,1506609,Santa Maria do Pará (PA),108966,137820,179004,283608,203834,310553
MU,1506708,Santana do Araguaia (PA),261588,327091,376777,515231,686482,803114
MU,1506807,Santarém (PA),1708319,2019446,2601840,3433607,3970093,4835188
MU,1506906,Santarém Novo (PA),16909,23200,27872,39090,39878,41219
MU,1507003,Santo Antônio do Tauá (PA),127503,133130,163692,189069,297319,343979
MU,1507102,São Caetano de Odivelas (PA),63618,47265,72578,106262,114215,131225
MU,1507151,São Domingos do Araguaia (PA),74063,98007,139066,160958,220134,272420
MU,1507201,São Domingos do Capim (PA),126450,116428,176546,267101,247892,309219
MU,1507300,São Félix do Xingu (PA),291066,377835,581855,879870,1212882,1392553
MU,1507409,São Francisco do Pará (PA),54686,68019,83691,181684,165795,204133
MU,1507458,São Geraldo do Araguaia (PA),121256,136227,197005,246521,312905,441431
MU,1507466,São João da Ponta (PA),15733,21461,25948,29906,37866,42207
MU,1507474,São João de Pirabas (PA),53037,64982,85850,121857,131343,158966
MU,1507508,São João do Araguaia (PA),38741,46005,72682,89686,104666,116984
MU,1507607,São Miguel do Guamá (PA),213276,269050,366872,587290,560272,668079
MU,1507706,São Sebastião da Boa Vista (PA),56506,69926,120634,153981,169416,206889
MU,1507755,Sapucaia (PA),45340,53166,62948,74711,89659,107990
MU,1507805,Senador José Porfírio (PA),59516,53904,67804,95153,113430,126966
MU,1507904,Soure (PA),63710,77073,97767,135446,165410,175010
MU,1507953,Tailândia (PA),269941,351479,492292,620710,789823,846501
MU,1507961,Terra Alta (PA),24939,31471,40006,63335,63158,71815
MU,1507979,Terra Santa (PA),40049,55889,76490,304290,484668,527237
MU,1508001,Tomé-Açu (PA),259295,285637,397127,469054,557048,639356
MU,1508035,Tracuateua (PA),74627,79575,116061,181179,187974,248328
MU,1508050,Trairão (PA),77592,89038,133523,201240,226746,329440
MU,1508084,Tucumã (PA),220711,299922,395992,463405,664104,756892
MU,1508100,Tucuruí (PA),2248566,1726210,2799475,3655059,4409818,6460221
MU,1508126,Ulianópolis (PA),454122,529673,803723,1345826,1336059,1245378
MU,1508159,Uruará (PA),222639,238511,324947,361319,499254,511963
MU,1508209,Vigia (PA),136388,176414,217814,279435,352008,373286
MU,1508308,Viseu (PA),162362,189994,282073,430260,434230,613441
MU,1508357,Vitória do Xingu (PA),54357,69652,111884,373869,805867,3088045
MU,1508407,Xinguara (PA),442217,448707,585302,710788,1075410,1217202
MU,1600055,Serra do Navio (AP),34048,34540,42743,54042,60383,70828
MU,1600105,Amapá (AP),56344,68873,84676,134479,131867,166932
MU,1600154,Pedra Branca do Amapari (AP),130442,102005,248428,356398,288571,280992
MU,1600204,Calçoene (AP),56419,79371,116100,142502,136608,146922
MU,1600212,Cutias (AP),27965,34743,44654,58181,64196,72795
MU,1600238,Ferreira Gomes (AP),35840,56734,91962,155000,351803,499821
MU,1600253,Itaubal (AP),22237,29845,36774,47989,57149,65752
MU,1600279,Laranjal do Jari (AP),265022,327665,395925,541838,531997,850522
MU,1600303,Macapá (AP),4020786,5072908,6196918,8279310,9126377,9994877
MU,1600402,Mazagão (AP),112499,117612,173752,214913,204408,244713
MU,1600501,Oiapoque (AP),153377,194864,218669,288112,305452,394500
MU,1600535,Porto Grande (AP),138327,163494,219701,267558,295789,331983
MU,1600550,Pracuúba (AP),24490,31325,41193,57776,56518,62942
