 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jan/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210542 Itinga do Maranhão";72;72;25941,36;21264,51;-;-;4676,85;-;-;360,30;360,30;166;2,3;-;-
"210545 Jatobá";80;80;23380,93;20191,36;-;-;3189,57;-;-;292,26;292,26;189;2,4;-;-
"210547 Jenipapo dos Vieiras";60;60;32812,85;26470,87;-;-;6341,98;-;-;546,88;546,88;161;2,7;-;-
"210550 João Lisboa";72;72;25793,34;22014,26;-;-;3779,08;-;-;358,24;358,24;170;2,4;-;-
"210570 Lago da Pedra";25;25;24806,04;19487,98;-;-;5318,06;-;-;992,24;992,24;190;7,6;7;28,00
"210580 Lago do Junco";26;26;6233,05;4943,02;-;-;1290,03;-;-;239,73;239,73;42;1,6;-;-
"210596 Lagoa Grande do Maranhão";29;29;18016,62;14021,95;-;-;3994,67;-;-;621,26;621,26;42;1,4;2;6,90
"210600 Lima Campos";74;74;26176,55;20308,58;-;-;5867,97;-;-;353,74;353,74;149;2,0;3;4,05
"210610 Loreto";18;18;8803,74;7806,90;-;-;996,84;-;-;489,10;489,10;54;3,0;-;-
"210637 Maranhãozinho";81;81;18835,33;15619,91;-;-;3215,42;-;-;232,53;232,53;162;2,0;-;-
"210650 Matinha";47;47;18813,92;13541,83;-;-;5272,09;-;-;400,30;400,30;107;2,3;-;-
"210660 Matões";48;48;19214,59;15285,00;-;-;3929,59;-;-;400,30;400,30;74;1,5;1;2,08
"210670 Mirador";115;115;51023,06;44201,16;-;-;6821,90;-;-;443,68;443,68;256;2,2;-;-
"210675 Miranda do Norte";113;113;67634,20;50859,00;-;-;16775,20;-;-;598,53;598,53;262;2,3;1;0,88
"210690 Monção";188;188;80393,01;61207,59;-;-;19185,42;-;-;427,62;427,62;757;4,0;1;0,53
"210710 Morros";104;104;48107,65;34615,13;-;-;13492,52;-;-;462,57;462,57;242;2,3;-;-
"210720 Nina Rodrigues";58;58;13402,02;11379,46;-;-;2022,56;-;-;231,07;231,07;215;3,7;-;-
"210725 Nova Colinas";31;31;23061,91;18636,73;-;-;4425,18;-;-;743,93;743,93;67;2,2;-;-
"210730 Nova Iorque";15;15;6163,32;5197,46;-;-;965,86;-;-;410,89;410,89;48;3,2;-;-
"210735 Nova Olinda do Maranhão";107;107;32441,65;27953,55;-;-;4488,10;-;-;303,19;303,19;216;2,0;-;-
"210740 Olho d'Água das Cunhãs";99;99;35951,01;30865,80;-;-;5085,21;-;-;363,14;363,14;297;3,0;-;-
"210745 Olinda Nova do Maranhão";90;90;42337,98;31440,17;-;-;10897,81;-;-;470,42;470,42;184;2,0;-;-
"210760 Palmeirândia";26;26;10438,93;7680,73;-;-;2758,20;-;-;401,50;401,50;71;2,7;-;-
"210770 Paraibano";59;59;27568,85;23767,82;-;-;3801,03;-;-;467,27;467,27;182;3,1;-;-
"210780 Parnarama";80;80;60712,37;50042,84;-;-;10669,53;-;-;758,90;758,90;342;4,3;4;5,00
"210790 Passagem Franca";379;379;160774,66;135730,19;-;-;25044,47;-;-;424,21;424,21;1135;3,0;-;-
"210800 Pastos Bons";151;151;71293,78;60092,35;-;-;11201,43;-;-;472,14;472,14;488;3,2;3;1,99
"210805 Paulino Neves";36;36;18258,18;12807,43;-;-;5450,75;-;-;507,17;507,17;68;1,9;-;-
"210810 Paulo Ramos";101;101;36185,22;30632,23;-;-;5552,99;-;-;358,27;358,27;268;2,7;-;-
"210820 Pedreiras";224;224;133661,39;103953,93;-;-;29707,46;-;-;596,70;596,70;1348;6,0;15;6,70
"210825 Pedro do Rosário";33;33;11046,50;8593,39;-;-;2453,11;-;-;334,74;334,74;66;2,0;-;-
"210830 Penalva";131;131;56288,90;38988,91;-;-;17299,99;-;-;429,69;429,69;213;1,6;-;-
"210845 Peritoró";255;255;153216,05;116804,45;-;-;36411,60;-;-;600,85;600,85;1269;5,0;4;1,57
"210860 Pinheiro";773;773;607984,09;466819,57;-;-;141164,52;-;-;786,53;786,53;2973;3,8;31;4,01
"210870 Pio XII";93;93;34796,71;29369,96;-;-;5426,75;-;-;374,16;374,16;251;2,7;-;-
"210880 Pirapemas";43;43;18663,28;14445,11;-;-;4218,17;-;-;434,03;434,03;95;2,2;-;-
"210900 Porto Franco";91;91;42559,07;32226,74;-;-;10332,33;-;-;467,68;467,68;178;2,0;2;2,20
"210910 Presidente Dutra";607;607;644586,18;535325,05;-;-;109261,13;-;-;1061,92;1061,92;3362;5,5;36;5,93
"210920 Presidente Juscelino";22;22;7617,11;6109,65;-;-;1507,46;-;-;346,23;346,23;45;2,0;-;-
"210927 Presidente Sarney";63;63;19594,71;16737,20;-;-;2857,51;-;-;311,03;311,03;126;2,0;-;-
"210930 Presidente Vargas";37;37;10512,12;8397,89;-;-;2114,23;-;-;284,11;284,11;120;3,2;1;2,70
"210945 Raposa";13;13;8544,92;7658,49;-;-;886,43;-;-;657,30;657,30;49;3,8;-;-
"210950 Riachão";64;64;20118,77;16329,21;-;-;3789,56;-;-;314,36;314,36;141;2,2;-;-
"210960 Rosário";71;71;22181,85;18342,90;-;-;3838,95;-;-;312,42;312,42;138;1,9;-;-
"210970 Sambaíba";15;15;5578,48;4861,91;-;-;716,57;-;-;371,90;371,90;60;4,0;-;-
"210980 Santa Helena";133;133;53279,02;39868,05;-;-;13410,97;-;-;400,59;400,59;286;2,2;2;1,50
"210990 Santa Inês";1270;1270;965337,95;748548,69;-;-;216789,26;-;-;760,11;760,11;5432;4,3;35;2,76
"211000 Santa Luzia";307;307;158202,77;112686,41;-;-;45516,36;-;-;515,32;515,32;972;3,2;3;0,98
"211003 Santa Luzia do Paruá";40;40;38293,92;31365,64;-;-;6928,28;-;-;957,35;957,35;277;6,9;13;32,50
"211010 Santa Quitéria do Maranhão";10;10;3481,39;2975,44;-;-;505,95;-;-;348,14;348,14;30;3,0;-;-
"211023 Santana do Maranhão";23;23;7896,79;6530,91;-;-;1365,88;-;-;343,34;343,34;58;2,5;-;-
"211027 Santo Amaro do Maranhão";34;34;11380,18;9373,33;-;-;2006,85;-;-;334,71;334,71;71;2,1;-;-
"211040 São Benedito do Rio Preto";41;41;14484,51;10800,73;-;-;3683,78;-;-;353,28;353,28;83;2,0;-;-
"211050 São Bento";77;77;23570,16;19965,50;-;-;3604,66;-;-;306,11;306,11;227;2,9;-;-
"211060 São Bernardo";158;158;55273,73;45686,60;-;-;9587,13;-;-;349,83;349,83;573;3,6;-;-
"211065 São Domingos do Azeitão";28;28;9339,94;7866,32;-;-;1473,62;-;-;333,57;333,57;67;2,4;-;-
"211070 São Domingos do Maranhão";102;102;44057,66;35538,83;-;-;8518,83;-;-;431,94;431,94;413;4,0;-;-
"211080 São Félix de Balsas";35;35;12424,29;10565,09;-;-;1859,20;-;-;354,98;354,98;90;2,6;-;-
"211085 São Francisco do Brejão";54;54;20379,83;17405,43;-;-;2974,40;-;-;377,40;377,40;112;2,1;-;-
"211090 São Francisco do Maranhão";37;37;18056,87;14879,48;-;-;3177,39;-;-;488,02;488,02;84;2,3;-;-
"211100 São João Batista";70;70;20526,68;17162,69;-;-;3363,99;-;-;293,24;293,24;141;2,0;-;-
"211102 São João do Carú";37;37;15527,64;12097,92;-;-;3429,72;-;-;419,67;419,67;81;2,2;-;-
"211107 São João do Soter";74;74;25040,99;20113,89;-;-;4927,10;-;-;338,39;338,39;206;2,8;-;-
"211110 São João dos Patos";94;94;26810,64;22294,97;-;-;4515,67;-;-;285,22;285,22;179;1,9;1;1,06
"211120 São José de Ribamar";158;158;80962,65;48855,01;-;-;32107,64;-;-;512,42;512,42;399;2,5;-;-
"211130 São Luís";8697;9081;15909758,61;12827275,49;-;-;3082483,12;-;-;1751,98;1829,34;79294;9,1;503;5,78
"211140 São Luís Gonzaga do Maranhão";164;164;62162,91;52122,60;-;-;10040,31;-;-;379,04;379,04;499;3,0;-;-
"211150 São Mateus do Maranhão";100;100;20335,46;16872,72;-;-;3462,74;-;-;203,35;203,35;165;1,7;1;1,00
"211153 São Pedro da Água Branca";8;8;3388,71;2868,81;-;-;519,90;-;-;423,59;423,59;21;2,6;-;-
"211157 São Pedro dos Crentes";92;92;29716,56;24338,92;-;-;5377,64;-;-;323,01;323,01;279;3,0;-;-
"211160 São Raimundo das Mangabeiras";102;102;59618,01;50883,51;-;-;8734,50;-;-;584,49;584,49;363;3,6;-;-
"211163 São Raimundo do Doca Bezerra";2;2;1860,80;1506,78;-;-;354,02;-;-;930,40;930,40;4;2,0;-;-
"211170 São Vicente Ferrer";221;221;78365,84;62785,07;-;-;15580,77;-;-;354,60;354,60;527;2,4;-;-
"211172 Satubinha";23;23;6941,71;5963,26;-;-;978,45;-;-;301,81;301,81;56;2,4;1;4,35
"211180 Sítio Novo";91;91;39283,82;31184,57;-;-;8099,25;-;-;431,69;431,69;261;2,9;-;-
"211195 Sucupira do Riachão";38;38;19591,81;16212,24;-;-;3379,57;-;-;515,57;515,57;117;3,1;1;2,63
"211200 Tasso Fragoso";11;11;2466,48;1938,01;-;-;528,47;-;-;224,23;224,23;39;3,5;-;-
"211210 Timbiras";309;309;167647,00;126058,38;-;-;41588,62;-;-;542,55;542,55;1041;3,4;5;1,62
"211220 Timon";536;536;484392,70;366501,48;-;-;117891,22;-;-;903,72;903,72;2246;4,2;16;2,99
"211223 Trizidela do Vale";39;39;23656,61;18281,75;-;-;5374,86;-;-;606,58;606,58;167;4,3;2;5,13
"211227 Tufilândia";22;22;9759,43;8166,27;-;-;1593,16;-;-;443,61;443,61;48;2,2;-;-
"211230 Tuntum";342;342;101043,64;80542,93;-;-;20500,71;-;-;295,45;295,45;207;0,6;2;0,58
"211240 Turiaçu";84;84;29927,27;22453,57;-;-;7473,70;-;-;356,28;356,28;186;2,2;-;-
"211250 Tutóia";127;127;55501,73;40488,03;-;-;15013,70;-;-;437,02;437,02;320;2,5;1;0,79
"211260 Urbano Santos";137;137;56437,96;41601,01;-;-;14836,95;-;-;411,96;411,96;320;2,3;-;-
"211270 Vargem Grande";133;133;50123,18;35700,81;-;-;14422,37;-;-;376,87;376,87;277;2,1;3;2,26
"211280 Viana";275;275;148085,32;100456,07;-;-;47629,25;-;-;538,49;538,49;707;2,6;6;2,18
"211285 Vila Nova dos Martírios";21;21;7877,91;6069,76;-;-;1808,15;-;-;375,14;375,14;39;1,9;-;-
"211300 Vitorino Freire";212;212;106195,81;84906,53;-;-;21289,28;-;-;500,92;500,92;438;2,1;1;0,47
"211400 Zé Doca";315;315;146142,57;106013,78;-;-;40128,79;-;-;463,94;463,94;921;2,9;4;1,27
"220020 Água Branca";62;62;47330,82;37621,19;-;-;9709,63;-;-;763,40;763,40;235;3,8;1;1,61
"220025 Alagoinha do Piauí";9;9;2065,50;1766,51;-;-;298,99;-;-;229,50;229,50;33;3,7;-;-
"220030 Alto Longá";15;15;7984,95;6613,78;-;-;1371,17;-;-;532,33;532,33;52;3,5;-;-
"220040 Altos";61;61;36274,98;27762,17;-;-;8512,81;-;-;594,67;594,67;195;3,2;1;1,64
"220050 Amarante";117;117;78573,84;62931,46;-;-;15642,38;-;-;671,57;671,57;303;2,6;5;4,27
