 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mar/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"221040 São Miguel do Tapuio";35;35;27061,71;20928,13;-;-;6133,58;-;-;773,19;773,19;120;3,4;-;-
"221050 São Pedro do Piauí";14;14;12457,39;9855,25;-;-;2602,14;-;-;889,81;889,81;51;3,6;-;-
"221060 São Raimundo Nonato";908;908;878791,48;738579,85;-;-;140211,63;-;-;967,83;967,83;2648;2,9;20;2,20
"221070 Simões";135;135;79924,31;71674,77;-;-;8249,54;-;-;592,03;592,03;405;3,0;-;-
"221100 Teresina";7297;7421;13908921,70;11365205,81;-;-;2543715,89;-;-;1874,27;1906,12;45045;6,2;475;6,51
"221110 União";46;46;17937,98;14048,21;-;-;3889,77;-;-;389,96;389,96;187;4,1;1;2,17
"221120 Uruçuí";95;95;63645,50;49374,43;-;-;14271,07;-;-;669,95;669,95;272;2,9;2;2,11
"221130 Valença do Piauí";198;198;142164,32;104545,40;-;-;37618,92;-;-;718,00;718,00;528;2,7;8;4,04
"221170 Wall Ferraz";30;30;18202,46;16262,68;-;-;1939,78;-;-;606,75;606,75;86;2,9;-;-
"230020 Acaraú";313;313;146810,04;103380,32;-;-;43429,72;-;-;469,04;469,04;927;3,0;5;1,60
"230030 Acopiara";109;109;105397,22;80574,65;-;-;24822,57;-;-;966,95;966,95;371;3,4;9;8,26
"230040 Aiuaba";21;21;14077,49;11469,14;-;-;2608,35;-;-;670,36;670,36;86;4,1;1;4,76
"230070 Alto Santo";9;9;8886,21;7188,24;-;-;1697,97;-;-;987,36;987,36;45;5,0;-;-
"230080 Antonina do Norte";6;6;4750,08;3903,44;-;-;846,64;-;-;791,68;791,68;19;3,2;-;-
"230090 Apuiarés";14;14;18765,08;14890,53;-;-;3874,55;-;-;1340,36;1340,36;73;5,2;-;-
"230100 Aquiraz";175;175;129454,38;98290,34;-;-;31164,04;-;-;739,74;739,74;715;4,1;26;14,86
"230110 Aracati";185;185;146138,20;116385,28;-;-;29752,92;-;-;789,94;789,94;867;4,7;12;6,49
"230125 Ararendá";12;12;18056,00;14407,88;-;-;3648,12;-;-;1504,67;1504,67;81;6,8;-;-
"230130 Araripe";45;45;29583,66;24533,50;-;-;5050,16;-;-;657,41;657,41;226;5,0;2;4,44
"230140 Aratuba";14;14;9840,99;7902,90;-;-;1938,09;-;-;702,93;702,93;37;2,6;1;7,14
"230160 Assaré";22;22;15298,63;12424,98;-;-;2873,65;-;-;695,39;695,39;101;4,6;1;4,55
"230170 Aurora";137;137;85689,77;63603,50;-;-;22086,27;-;-;625,47;625,47;385;2,8;1;0,73
"230185 Banabuiú";19;19;14961,42;12033,02;-;-;2928,40;-;-;787,44;787,44;63;3,3;-;-
"230190 Barbalha";1096;1096;2183643,19;1766926,01;-;-;416717,18;-;-;1992,38;1992,38;6081;5,5;59;5,38
"230195 Barreira";25;25;37500,00;29899,75;-;-;7600,25;-;-;1500,00;1500,00;98;3,9;-;-
"230200 Barro";15;15;9145,18;7413,98;-;-;1731,20;-;-;609,68;609,68;75;5,0;1;6,67
"230210 Baturité";164;164;103973,84;68829,70;-;-;35144,14;-;-;633,99;633,99;274;1,7;4;2,44
"230220 Beberibe";59;59;51854,02;41329,96;-;-;10524,06;-;-;878,88;878,88;205;3,5;8;13,56
"230230 Bela Cruz";67;67;70792,88;55644,70;279,03;-;14722,16;-;-;1056,61;1056,61;213;3,2;4;5,97
"230240 Boa Viagem";99;99;87981,06;70147,25;-;-;17833,81;-;-;888,70;888,70;283;2,9;7;7,07
"230250 Brejo Santo";654;654;1148450,30;949145,26;-;-;199305,04;-;-;1756,04;1756,04;2385;3,6;25;3,82
"230260 Camocim";332;332;201694,46;151904,58;-;-;49789,88;-;-;607,51;607,51;1022;3,1;7;2,11
"230270 Campos Sales";75;75;67377,10;55211,78;-;-;12165,32;-;-;898,36;898,36;379;5,1;5;6,67
"230280 Canindé";403;403;294995,47;209533,31;-;-;85462,16;-;-;732,00;732,00;1259;3,1;14;3,47
"230300 Caridade";1;1;443,40;267,60;-;-;175,80;-;-;443,40;443,40;1;1,0;-;-
"230310 Cariré";51;51;29094,38;24429,16;-;-;4665,22;-;-;570,48;570,48;209;4,1;-;-
"230320 Caririaçu";41;41;26679,66;22353,65;-;-;4326,01;-;-;650,72;650,72;108;2,6;2;4,88
"230330 Cariús";36;36;19934,16;16812,99;-;-;3121,17;-;-;553,73;553,73;175;4,9;1;2,78
"230340 Carnaubal";50;50;41349,42;33756,74;-;-;7592,68;-;-;826,99;826,99;223;4,5;4;8,00
"230350 Cascavel";133;133;95776,92;68065,80;-;-;27711,12;-;-;720,13;720,13;425;3,2;1;0,75
"230360 Catarina";35;35;34665,23;27104,93;-;-;7560,30;-;-;990,44;990,44;169;4,8;2;5,71
"230365 Catunda";25;25;17245,40;13604,98;-;-;3640,42;-;-;689,82;689,82;101;4,0;-;-
"230370 Caucaia";724;724;389870,25;262725,43;-;-;127144,82;-;-;538,49;538,49;3721;5,1;46;6,35
"230380 Cedro";143;143;113471,99;91828,03;-;-;21643,96;-;-;793,51;793,51;371;2,6;2;1,40
"230390 Chaval";18;18;17622,12;14056,19;-;-;3565,93;-;-;979,01;979,01;39;2,2;1;5,56
"230393 Choró";9;9;4746,26;4208,58;-;-;537,68;-;-;527,36;527,36;24;2,7;2;22,22
"230395 Chorozinho";20;20;19734,97;15731,02;-;-;4003,95;-;-;986,75;986,75;63;3,1;1;5,00
"230410 Crateús";648;648;831033,40;675620,15;-;-;155413,25;-;-;1282,46;1282,46;3033;4,7;69;10,65
"230420 Crato";1241;1241;1015970,32;776944,87;-;-;239025,45;-;-;818,67;818,67;3712;3,0;40;3,22
"230423 Croatá";13;13;5040,99;3790,05;-;-;1250,94;-;-;387,77;387,77;46;3,5;-;-
"230425 Cruz";125;125;114908,75;88814,78;-;-;26093,97;-;-;919,27;919,27;579;4,6;11;8,80
"230426 Deputado Irapuan Pinheiro";28;28;28839,76;23425,67;-;-;5414,09;-;-;1029,99;1029,99;121;4,3;2;7,14
