 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Abr/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211200 Tasso Fragoso";28;28;28291,36;22477,47;-;-;5813,89;-;-;1010,41;1010,41;103;3,7;-;-
"211210 Timbiras";377;377;192489,41;140937,17;-;-;51552,24;-;-;510,58;510,58;1168;3,1;5;1,33
"211220 Timon";643;643;1398036,99;1143039,06;-;-;254997,93;-;-;2174,24;2174,24;3162;4,9;57;8,86
"211223 Trizidela do Vale";58;58;43301,56;33608,88;-;-;9692,68;-;-;746,58;746,58;201;3,5;3;5,17
"211230 Tuntum";309;309;112539,20;89009,42;-;-;23529,78;-;-;364,20;364,20;1014;3,3;1;0,32
"211240 Turiaçu";63;63;27248,06;18828,53;-;-;8419,53;-;-;432,51;432,51;132;2,1;-;-
"211250 Tutóia";86;86;37172,05;27460,27;-;-;9711,78;-;-;432,23;432,23;209;2,4;-;-
"211260 Urbano Santos";131;131;68859,22;51667,54;-;-;17191,68;-;-;525,64;525,64;315;2,4;2;1,53
"211270 Vargem Grande";206;206;188376,74;145921,04;-;-;42455,70;-;-;914,45;914,45;684;3,3;2;0,97
"211280 Viana";128;128;86388,46;67696,48;-;-;18691,98;-;-;674,91;674,91;551;4,3;6;4,69
"211285 Vila Nova dos Martírios";33;33;10985,69;9123,43;-;-;1862,26;-;-;332,90;332,90;72;2,2;-;-
"211400 Zé Doca";338;338;219673,70;163268,99;-;-;56404,71;-;-;649,92;649,92;1219;3,6;9;2,66
"220020 Água Branca";62;62;73894,30;59126,59;-;-;14767,71;-;-;1191,84;1191,84;243;3,9;3;4,84
"220040 Altos";87;87;83786,51;66570,62;-;-;17215,89;-;-;963,06;963,06;334;3,8;-;-
"220050 Amarante";112;112;100504,91;79523,55;-;-;20981,36;-;-;897,37;897,37;287;2,6;3;2,68
"220120 Barras";160;160;109545,94;84801,38;-;-;24744,56;-;-;684,66;684,66;574;3,6;5;3,13
"220150 Batalha";76;76;38145,71;31003,67;-;-;7142,04;-;-;501,92;501,92;212;2,8;-;-
"220160 Beneditinos";4;4;1489,20;1339,17;-;-;150,03;-;-;372,30;372,30;21;5,3;-;-
"220190 Bom Jesus";402;402;527429,41;425865,88;-;-;101563,53;-;-;1312,01;1312,01;1548;3,9;33;8,21
"220220 Campo Maior";330;330;175560,60;140763,66;-;-;34796,94;-;-;532,00;532,00;1085;3,3;6;1,82
"220230 Canto do Buriti";98;98;74141,60;60597,30;-;-;13544,30;-;-;756,55;756,55;313;3,2;-;-
"220260 Castelo do Piauí";71;71;38266,45;30591,87;-;-;7674,58;-;-;538,96;538,96;252;3,5;-;-
"220270 Cocal";29;29;16182,43;12842,35;-;-;3340,08;-;-;558,01;558,01;84;2,9;-;-
"220290 Corrente";113;113;80959,26;57250,17;-;-;23709,09;-;-;716,45;716,45;521;4,6;4;3,54
"220310 Cristino Castro";55;55;41947,27;38195,26;-;-;3752,01;-;-;762,68;762,68;165;3,0;-;-
