 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mai/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"230340 Carnaubal";76;76;68321,14;54087,54;-;-;14233,60;-;-;898,96;898,96;270;3,6;2;2,63
"230350 Cascavel";157;157;104441,61;72992,00;-;-;31449,61;-;-;665,23;665,23;496;3,2;8;5,10
"230360 Catarina";35;35;22848,29;18125,44;-;-;4722,85;-;-;652,81;652,81;160;4,6;-;-
"230365 Catunda";26;26;18996,11;15146,08;-;-;3850,03;-;-;730,62;730,62;114;4,4;1;3,85
"230370 Caucaia";739;739;779964,91;598840,69;-;-;181124,22;-;-;1055,43;1055,43;3969;5,4;59;7,98
"230380 Cedro";129;129;105747,13;84634,21;-;-;21112,92;-;-;819,75;819,75;368;2,9;6;4,65
"230395 Chorozinho";14;14;19657,73;15646,23;-;-;4011,50;-;-;1404,12;1404,12;65;4,6;-;-
"230420 Crato";1241;1241;1580893,29;1263729,82;-;-;317163,47;-;-;1273,89;1273,89;4070;3,3;55;4,43
"230423 Croatá";48;48;52019,53;41828,52;-;-;10191,01;-;-;1083,74;1083,74;224;4,7;3;6,25
"230425 Cruz";76;76;76599,60;59730,55;-;-;16869,05;-;-;1007,89;1007,89;303;4,0;5;6,58
"230427 Ererê";2;2;1045,63;902,90;-;-;142,73;-;-;522,81;522,81;13;6,5;-;-
"230428 Eusébio";300;300;332215,92;255146,26;-;-;77069,66;-;-;1107,39;1107,39;972;3,2;39;13,00
"230440 Fortaleza";19890;20295;43379085,74;35531065,55;-;-;7848020,19;-;-;2137,43;2180,95;151236;7,6;1618;8,13
"230445 Fortim";22;22;31164,84;24927,94;-;-;6236,90;-;-;1416,58;1416,58;122;5,5;-;-
"230450 Frecheirinha";25;25;21042,88;16768,63;-;-;4274,25;-;-;841,72;841,72;99;4,0;1;4,00
"230480 Granjeiro";11;11;6487,55;5383,41;-;-;1104,14;-;-;589,78;589,78;37;3,4;1;9,09
"230500 Guaraciaba do Norte";64;64;57039,29;43695,61;-;-;13343,68;-;-;891,24;891,24;213;3,3;-;-
"230520 Hidrolândia";23;23;9255,08;7853,86;-;-;1401,22;-;-;402,39;402,39;184;8,0;1;4,35
"230523 Horizonte";138;138;104742,85;74527,34;-;-;30215,51;-;-;759,01;759,01;472;3,4;-;-
"230526 Ibaretama";3;3;2352,80;1928,49;-;-;424,31;-;-;784,27;784,27;15;5,0;1;33,33
"230530 Ibiapina";82;82;68512,55;54918,10;-;-;13594,45;-;-;835,52;835,52;360;4,4;1;1,22
"230550 Iguatu";525;525;1623571,67;1358106,52;-;-;265465,15;-;-;3092,52;3092,52;2700;5,1;72;13,71
"230560 Independência";40;40;47946,02;37872,82;-;-;10073,20;-;-;1198,65;1198,65;213;5,3;2;5,00
"230580 Ipu";105;105;50717,11;35818,11;-;-;14899,00;-;-;483,02;483,02;208;2,0;-;-
"230600 Iracema";45;45;43077,62;34605,15;-;-;8472,47;-;-;957,28;957,28;144;3,2;2;4,44
"230620 Itaiçaba";16;16;22164,84;17752,00;-;-;4412,84;-;-;1385,30;1385,30;67;4,2;1;6,25
"230630 Itapagé";82;82;88467,78;70303,02;-;-;18164,76;-;-;1078,88;1078,88;373;4,5;4;4,88
"230640 Itapipoca";1067;1067;3533954,24;2952540,06;-;-;581414,18;-;-;3312,05;3312,05;5101;4,8;75;7,03
"230650 Itapiúna";50;50;66620,16;53374,50;-;-;13245,66;-;-;1332,40;1332,40;178;3,6;5;10,00
"230670 Jaguaretama";40;40;36530,03;29354,27;-;-;7175,76;-;-;913,25;913,25;187;4,7;-;-
"230680 Jaguaribara";11;11;12919,34;10370,32;-;-;2549,02;-;-;1174,49;1174,49;21;1,9;-;-
"230690 Jaguaribe";107;107;82338,23;62879,10;-;-;19459,13;-;-;769,52;769,52;253;2,4;-;-
"230725 Jijoca de Jericoacoara";18;18;20452,70;16145,75;-;-;4306,95;-;-;1136,26;1136,26;80;4,4;-;-
"230730 Juazeiro do Norte";1146;1146;3859912,73;3306537,93;-;-;553374,80;-;-;3368,16;3368,16;8115;7,1;225;19,63
"230740 Jucás";59;59;51444,65;41099,51;-;-;10345,14;-;-;871,94;871,94;226;3,8;6;10,17
"230750 Lavras da Mangabeira";107;107;97624,50;76857,97;-;-;20766,53;-;-;912,38;912,38;351;3,3;3;2,80
"230760 Limoeiro do Norte";382;382;872690,17;736617,72;-;-;136072,45;-;-;2284,53;2284,53;1276;3,3;32;8,38
"230763 Madalena";20;20;13948,10;11422,93;-;-;2525,17;-;-;697,41;697,41;34;1,7;1;5,00
"230770 Maranguape";205;205;410130,53;340627,27;-;-;69503,26;-;-;2000,64;2000,64;921;4,5;23;11,22
"230830 Milagres";53;53;47327,59;36868,63;-;-;10458,96;-;-;892,97;892,97;139;2,6;4;7,55
"230835 Milhã";23;23;24184,06;19595,62;-;-;4588,44;-;-;1051,48;1051,48;59;2,6;-;-
"230850 Mombaça";102;102;85215,04;66157,03;-;-;19058,01;-;-;835,44;835,44;399;3,9;8;7,84
"230860 Monsenhor Tabosa";93;93;100157,11;80585,40;-;-;19571,71;-;-;1076,96;1076,96;392;4,2;-;-
