 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Fev/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"230100 Aquiraz";120;120;71024,05;51711,03;-;-;19313,02;-;-;591,87;591,87;416;3,5;5;4,17
"230110 Aracati";288;288;169477,76;122747,56;-;-;46730,20;-;-;588,46;588,46;1167;4,1;17;5,90
"230125 Ararendá";5;5;3372,75;3143,80;-;-;228,95;-;-;674,55;674,55;50;10,0;-;-
"230130 Araripe";27;27;17824,93;14555,11;-;-;3269,82;-;-;660,18;660,18;146;5,4;-;-
"230140 Aratuba";11;11;2757,69;2129,92;-;-;627,77;-;-;250,70;250,70;59;5,4;2;18,18
"230160 Assaré";8;8;5663,84;4727,55;-;-;936,29;-;-;707,98;707,98;42;5,3;-;-
"230170 Aurora";87;87;49902,68;35758,10;-;-;14144,58;-;-;573,59;573,59;211;2,4;-;-
"230185 Banabuiú";24;24;12540,56;10222,25;-;-;2318,31;-;-;522,52;522,52;77;3,2;1;4,17
"230190 Barbalha";1073;1073;2013451,68;1654425,28;-;-;359026,40;-;-;1876,47;1876,47;5759;5,4;52;4,85
"230195 Barreira";11;11;7829,98;6407,56;-;-;1422,42;-;-;711,82;711,82;32;2,9;-;-
"230200 Barro";5;5;5272,09;4239,84;-;-;1032,25;-;-;1054,42;1054,42;25;5,0;1;20,00
"230210 Baturité";132;132;67395,20;42533,40;-;-;24861,80;-;-;510,57;510,57;237;1,8;-;-
"230220 Beberibe";45;45;29511,25;22803,05;-;-;6708,20;-;-;655,81;655,81;163;3,6;4;8,89
"230230 Bela Cruz";34;34;17946,65;13123,62;876,13;-;3505,99;-;-;527,84;527,84;115;3,4;1;2,94
"230240 Boa Viagem";67;67;44676,67;35531,90;-;-;9144,77;-;-;666,82;666,82;218;3,3;4;5,97
"230250 Brejo Santo";716;716;611100,35;485395,17;-;-;125705,18;-;-;853,49;853,49;1922;2,7;22;3,07
"230260 Camocim";336;336;160128,43;121475,30;-;-;38653,13;-;-;476,57;476,57;961;2,9;5;1,49
"230270 Campos Sales";69;69;51743,18;42330,72;-;-;9412,46;-;-;749,90;749,90;302;4,4;7;10,14
"230280 Canindé";411;411;294845,65;204932,34;-;-;89913,31;-;-;717,39;717,39;1276;3,1;11;2,68
